"PASSENGERS","DISTANCE","UNIQUE_CARRIER","UNIQUE_CARRIER_NAME","ORIGIN_AIRPORT_ID","ORIGIN","ORIGIN_CITY_NAME","DEST_AIRPORT_ID","DEST","DEST_CITY_NAME","YEAR","MONTH",
2800.00,1546.00,"AA","American Airlines Inc.",11298,"DFW","Dallas/Fort Worth, TX",13180,"MBJ","Montego Bay, Jamaica",2021,4,
2800.00,1443.00,"NK","Spirit Air Lines",11032,"CUN","Cancun, Mexico",13930,"ORD","Chicago, IL",2021,1,
2800.00,6841.00,"AA","American Airlines Inc.",11298,"DFW","Dallas/Fort Worth, TX",12277,"ICN","Seoul, South Korea",2021,7,
2802.00,1957.00,"B6","JetBlue Airways",11618,"EWR","Newark, NJ",10411,"AUA","Aruba, Aruba",2021,5,
2804.00,1554.00,"DL","Delta Air Lines Inc.",12478,"JFK","New York, NY",14293,"PUJ","Punta Cana, Dominican Republic",2021,4,
2804.00,8334.00,"EK","Emirates",11455,"DXB","Dubai, United Arab Emirates",12892,"LAX","Los Angeles, CA",2021,2,
2804.00,3635.00,"AF","Compagnie Natl Air France",12478,"JFK","New York, NY",10920,"CDG","Paris, France",2021,4,
2804.00,3892.00,"SN","Brussels Airlines N.V.",12264,"IAD","Washington, DC",10752,"BRU","Brussels, Belgium",2021,7,
2805.00,2627.00,"AS","Alaska Airlines Inc.",12892,"LAX","Los Angeles, CA",12990,"LIR","Liberia, Costa Rica",2021,4,
2805.00,3824.00,"1BQ","Eastern Airlines f/k/a Dynamic Airways, LLC",10386,"ASU","Asuncion, Paraguay",13303,"MIA","Miami, FL",2021,5,
2806.00,1693.00,"Y4","Concesionaria Vuela Compania De Aviacion SA de CV (Volaris)",10638,"BJX","Leon/Guanajuato, Mexico",13796,"OAK","Oakland, CA",2021,7,
2806.00,6985.00,"ET","Ethiopian Airlines",11618,"EWR","Newark, NJ",10162,"ADD","Addis Ababa, Ethiopia",2021,1,
2806.00,1426.00,"WN","Southwest Airlines Co.",10821,"BWI","Baltimore, MD",13180,"MBJ","Montego Bay, Jamaica",2021,1,
2806.00,1366.00,"Y4","Concesionaria Vuela Compania De Aviacion SA de CV (Volaris)",10638,"BJX","Leon/Guanajuato, Mexico",12892,"LAX","Los Angeles, CA",2021,5,
2807.00,722.00,"AA","American Airlines Inc.",14832,"SJD","San Jose del Cabo, Mexico",14107,"PHX","Phoenix, AZ",2021,2,
2807.00,1282.00,"B6","JetBlue Airways",14838,"SJO","San Jose, Costa Rica",13204,"MCO","Orlando, FL",2021,3,
2808.00,2078.00,"DL","Delta Air Lines Inc.",14312,"PVR","Puerto Vallarta, Mexico",14747,"SEA","Seattle, WA",2021,5,
2808.00,5296.00,"UA","United Air Lines Inc.",12264,"IAD","Washington, DC",10150,"ACC","Accra, Ghana",2021,6,
2808.00,1009.00,"B6","JetBlue Airways",13204,"MCO","Orlando, FL",14739,"SDQ","Santo Domingo, Dominican Republic",2021,6,
2809.00,4614.00,"DL","Delta Air Lines Inc.",10397,"ATL","Atlanta, GA",11760,"FRA","Frankfurt, Germany",2021,1,
2810.00,2395.00,"S4","Sata Internacional",10721,"BOS","Boston, MA",14051,"PDL","Ponta Delgada, Portugal",2021,1,
2810.00,1698.00,"NK","Spirit Air Lines",10711,"BOG","Bogota, Colombia",13204,"MCO","Orlando, FL",2021,6,
2813.00,3953.00,"UA","United Air Lines Inc.",12972,"LHR","London, United Kingdom",13930,"ORD","Chicago, IL",2021,7,
2815.00,2375.00,"AA","American Airlines Inc.",12478,"JFK","New York, NY",13218,"MDE","Medellin, Colombia",2021,7,
2815.00,1569.00,"NK","Spirit Air Lines",11052,"CLO","Cali, Colombia",11697,"FLL","Fort Lauderdale, FL",2021,3,
2815.00,6603.00,"AA","American Airlines Inc.",15258,"TLV","Tel Aviv, Israel",13303,"MIA","Miami, FL",2021,7,
2815.00,1133.00,"AA","American Airlines Inc.",10411,"AUA","Aruba, Aruba",13303,"MIA","Miami, FL",2021,2,
2816.00,899.00,"UA","United Air Lines Inc.",11292,"DEN","Denver, CO",16257,"YYC","Calgary, Canada",2021,1,
2816.00,1551.00,"AA","American Airlines Inc.",11057,"CLT","Charlotte, NC",13252,"MEX","Mexico City, Mexico",2021,4,
2817.00,2473.00,"AA","American Airlines Inc.",10711,"BOG","Bogota, Colombia",12478,"JFK","New York, NY",2021,5,
2818.00,4884.00,"LX","Swiss International Airlines",16321,"ZRH","Zurich, Switzerland",13303,"MIA","Miami, FL",2021,7,
2818.00,1106.00,"UA","United Air Lines Inc.",14681,"SAP","San Pedro Sula, Honduras",12266,"IAH","Houston, TX",2021,2,
2818.00,1754.00,"AA","American Airlines Inc.",11298,"DFW","Dallas/Fort Worth, TX",16229,"YVR","Vancouver, Canada",2021,7,
2819.00,4401.00,"KL","Klm Royal Dutch Airlines",10292,"AMS","Amsterdam, Netherlands",10397,"ATL","Atlanta, GA",2021,3,
2819.00,6906.00,"KE","Korean Air Lines Co. Ltd.",12277,"ICN","Seoul, South Korea",12478,"JFK","New York, NY",2021,6,
2819.00,1715.00,"DL","Delta Air Lines Inc.",10411,"AUA","Aruba, Aruba",10397,"ATL","Atlanta, GA",2021,3,
2820.00,4080.00,"LH","Lufthansa German Airlines",11760,"FRA","Frankfurt, Germany",12264,"IAD","Washington, DC",2021,5,
2821.00,2375.00,"AA","American Airlines Inc.",12478,"JFK","New York, NY",13218,"MDE","Medellin, Colombia",2021,6,
